id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
83312,5723,AMF Bowling 2004,NULL,2003-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182330,72680,Angelique Etoile,"The protagonist is a normal high school girl who was born in the Sacred Bird Cosmos. She and many other girls act as school representatives for a field trip to Holy Land the day after her seventeenth birthday. Like the other girls, she is asked by the Sacred Guardians to walk through a series of doorways. Her path ends at a mystical stone slab which shimmers in her presence. Moments afterwards, a spirit takes the form of her treasured childhood doll to inform her that she is the legendary étoile, or a celestial messenger for the cosmos. Her mission is to help nurture the Sacred Beast Cosmos's growth within a year (365 days).",2003-12-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144991,24106,Anito: Defend A Land Enraged,NULL,2003-11-22 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
47819,141468,Anstoss 4: Edition 03/04,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22300,44842,Ao Zora to Nakama Tachi: Yume no Bouken Plus,NULL,2003-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90331,210366,Arcano: El juego de Galicia,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185376,211,Armed and Dangerous,NULL,2003-12-02 00:00:00.000,9,NULL,82.5000,2,78.0028,14
84223,217764,ASCII and the Argonauts,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31187,143555,Ashita no Joe: Masshiro ni Moe Tsukiro!,NULL,2003-12-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176880,3789,Asterix & Obelix: Kick Buttix,"The story of the game involves Asterix and Obelix returning to their village in Gaul, after a day of hunting. They come to find that all their fellow village people have been captured. Along with their capture is also the theft of their magic potion, a potion that gives them superhuman strength. Caesar has captured the Gauls and spread them out to the furthest corners of the Roman Empire. Asterix and Obelix must find and free their friends and get the potion before it reaches Caesar.",2003-11-21 00:00:00.000,8,NULL,NULL,NULL,66.0453,16
188001,6310,Astro Boy: Omega Factor,NULL,2003-12-18 00:00:00.000,1,NULL,NULL,NULL,70.1642,12
189032,2641,Atari Anthology,NULL,2003-11-11 00:00:00.000,1,NULL,40.0000,2,NULL,NULL
14997,43826,Atlantis: The Lost Continent,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23609,62261,ATV Racers,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45050,222493,Azumanga The Fighting T-Style,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47272,222563,Azu-Race Taisen Battle He-Cho,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67975,49244,Backyard Hockey,NULL,2003-11-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98276,43879,Ballerburg: Castle Chaos,NULL,2003-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46785,43884,Barbie: Gotta Have Games,NULL,2003-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116620,3795,Baten Kaitos: Eternal Wings and the Lost Ocean,"The existence of Earth, a planet of continents surrounded by deep oceans, has long become a mere legend. People live now on islands which are floating high in the skies. They also have wings - ""Wings of the Hearts"" - growing on their backs. Kalas is a young man who was born only with one wing - he replaces the second with an artificial wing manufactured by great masters. He is on a quest to find the murderers of his grandfather and his brother. He meets a girl named Xelha, who is out to stop an evil conspiracy that threatens the country, and they join forces against the newly appeared evil.",2003-12-05 00:00:00.000,4,NULL,80.0000,2,87.6756,15
141589,197871,Batman: Rise of Sin Tzu,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
137631,17427,Battle Mages,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,0
126904,5744,Battlestar Galactica,NULL,2003-11-19 00:00:00.000,NULL,NULL,33.3333,4,NULL,NULL
175874,203149,Ben 10: Power Splash,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180437,49164,Beyblade VForce: Ultimate Blader Jam,NULL,2003-12-18 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
5243,1341,Beyond Good & Evil,"Jade and Pey'j are care-taking the children of Hillys orphaned by the DomZ. When Jade runs out of money to run the shield that protects them, she finds a photography job, cataloguing all the species on Hillys for a science museum. She is recruited by the IRIS Network, which suspects that the Alpha Sections are behind planet-wide disappearances. Jade's first target of investigation is an Alpha Sections factory.",2003-11-11 00:00:00.000,154,NULL,90.6000,6,86.4013,285
23846,7557,Big Rigs: Over the Road Racing,NULL,2003-11-20 00:00:00.000,2,NULL,NULL,NULL,10.8461,19
14831,102073,Blade & Sword,NULL,2003-12-22 00:00:00.000,1,1,NULL,NULL,NULL,NULL
14148,193611,Blade & Sword,NULL,2003-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76494,178552,Blob Wars: Metal Blob Solid,NULL,2003-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145357,24104,Bloody Roar 4,NULL,2003-11-11 00:00:00.000,7,NULL,86.0000,1,79.4547,10
53954,7973,Blue's Clues Kindergarten,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46519,47009,Bob the Builder: Bob's Castle Adventure,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148994,213956,Bomba: The Explosive Hero,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
167929,49528,Bomberman Jetters: Game Collection,NULL,2003-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156940,206472,Bowling Mania,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182748,43425,Boxing Champions,NULL,2003-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
194971,1151,Broken Sword: The Sleeping Dragon,"Powerful seismic events are shaking the world. Something sinister is emerging. An Ancient Conspiracy, the Secret of the Templars, and a fiendish source of pure Evil are responsible. The death of a back bedroom computer hacker in Paris is just the beginning of another extraordinary adventure for George Stobbart and Nico Collard. Welcome to the world of Broken Sword.",2003-11-14 00:00:00.000,16,NULL,60.0000,2,71.9158,63
30505,71558,Bud Redhead: The Time Chase,"One day Bud and Rachel were walking in a park when suddenly some strange green-furred creature jumped out of a bright flash of light. The creature grabbed Rachel and ran into the light which then disappeared. 
 
Bud is desperate! Only YOU can help him to rescue Rachel! 
 
Take a journey with Bud through space and time in pursuit of Feyatta, a well known green-furred intergalactic abductor. Your quest will lead you to 4 different places in space-time continuum: from the forest more than 8000 years ago, over Ancient Egypt and Medieval Castles, to a Space Ship orbiting Saturn a couple of million years in the future!",2003-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
133320,19413,Bujingai: The Forsaken City,NULL,2003-12-25 00:00:00.000,1,NULL,74.0000,1,NULL,NULL
168714,5763,Cabela's Dangerous Hunts,NULL,2003-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102710,64489,Capcom Arcade Hits Volume 1,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133022,49519,Cardcaptor Sakura: Sakura Card de Mini-Game,NULL,2003-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120234,130744,Cartoon Cartoon Summer Resort,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14249,2810,Cartoon Network Speedway,NULL,2003-11-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176092,35438,Casino Inc,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,1
67569,64399,Centipede & Battlezone,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161423,628,Championship Manager: Season 03/04,NULL,2003-11-21 00:00:00.000,1,NULL,NULL,NULL,71.0483,13
168962,18873,Chicago 1930,NULL,2003-12-31 00:00:00.000,3,NULL,NULL,NULL,50.0000,4
26942,4762,Chicken Shoot,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25963,43418,Cho Aniki: Seinaru Protein Densetsu,NULL,2003-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75383,194712,"Chocolat: Maid Cafe ""Curio""",NULL,2003-12-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186367,27073,ChoroQ,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105722,6348,CIMA: The Enemy,NULL,2003-11-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154329,170007,Clu Clu Land-e,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30433,110319,Collector's Edition: 251 Awesome Games!,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
117370,87190,Command & Conquer: Generals - Deluxe Edition,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,2
161022,1336,Contract J.A.C.K.,NULL,2003-11-11 00:00:00.000,4,NULL,55.0000,1,67.7955,10
134920,5788,Corvette,NULL,2003-11-11 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
65367,51760,Cossacks Anthology,NULL,2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54588,76822,Counter-Strike Neo,NULL,2003-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
56103,210237,Crash Nitro Kart,NULL,2003-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105160,1193,Crash Nitro Kart,NULL,2003-11-11 00:00:00.000,7,NULL,77.0000,2,69.3480,55
122453,68235,Crazy Chicken: Pharaoh's Treasure,NULL,2003-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
81815,125491,Crimson Alive: Burst Again,NULL,2003-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126308,5794,"Crouching Tiger, Hidden Dragon",NULL,2003-11-28 00:00:00.000,NULL,NULL,53.7500,5,NULL,NULL
147861,64564,Crystal Mines II: Buried Treasure,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98754,22100,Culdcept,NULL,2003-12-25 00:00:00.000,NULL,NULL,89.0000,2,NULL,NULL
144919,3867,Curious George,NULL,2003-12-11 00:00:00.000,2,NULL,40.0000,1,36.0000,3
98185,139244,Dance Dance Revolution Party Collection,NULL,2003-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3541,47301,Dance Dance Revolution: Ultramix,NULL,2003-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84715,50451,Deep Sea Tycoon,NULL,2003-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55095,9820,Desert Thunder,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109152,42,Deus Ex: Invisible War,NULL,2003-12-02 00:00:00.000,24,NULL,80.0000,4,63.0237,85
7853,203830,Di Gi Charat Fantasy Excellent,"Take on the role of a boy with a crush on Dejiko who, along with Dejiko, Puchiko, and Rabi-en-Rose, gets sucked through a dimensional vortex into a fantasy world. The player finds himself alone with Dejiko in a forest, and she's lost her memory. In this game, players are given a very different view of Dejiko, as the amnesia makes her innocent and shy.",2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116397,43702,Digimon World 2003,NULL,2003-12-15 00:00:00.000,3,NULL,NULL,NULL,80.0084,6
154904,11404,Disciples II: Rise of the Elves,NULL,2003-11-20 00:00:00.000,4,NULL,NULL,NULL,76.9431,11
173043,43737,Disney's 101 Dalmatians II: Patch's London Adventure,NULL,2003-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145063,3885,Disney's Hide and Sneak,NULL,2003-12-04 00:00:00.000,NULL,NULL,NULL,NULL,36.0000,0
167888,6381,Disney's Magical Quest 3 Starring Mickey & Donald,NULL,2003-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145896,142431,Disney's Mahjongg,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62132,104988,Diver Down,NULL,2003-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90127,3889,Donkey Konga,NULL,2003-12-12 00:00:00.000,3,NULL,60.0000,1,70.8422,19
116199,73175,Dora the Explorer: Barnyard Buddies,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45333,6384,Double Dragon Advance,NULL,2003-11-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3214,38662,Dragon Ball,NULL,2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28402,2564,Dragon Ball Z: Budokai 2,NULL,2003-11-13 00:00:00.000,6,NULL,74.0000,2,71.9980,54
183132,2580,Dragon Ball Z: Taiketsu,NULL,2003-11-24 00:00:00.000,2,NULL,40.0000,1,19.9426,8
1011,3899,DreamMix TV World Fighters,NULL,2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,54.0000,0
170796,3902,Duel Masters,NULL,2003-12-18 00:00:00.000,NULL,NULL,75.0000,2,35.0000,1
92144,9271,Dungeon Siege: Legends of Aranna,NULL,2003-11-11 00:00:00.000,7,NULL,90.0000,1,83.9070,24
175875,142288,"Ed, Edd n Eddy: Spin Stadium",NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
136018,53999,Empire Earth: Gold Edition,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170243,92750,Enigmo,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125428,83808,Espgaluda,NULL,2003-11-14 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
41834,5823,ESPN College Hoops,NULL,2003-11-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
140178,43374,EverQuest Online Adventures: Frontiers,NULL,2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138771,63019,ExaSkeleton,"Joe is a competitor in the I.G-1, a mechanized combat sport game. One day, however, reality intrudes on his life, and he and his friends must leave the safety of home to fight on the blasted surface of Earth. His skills from the games, and his Exaskeleton, are the only things that can protect him now.

Exaskeleton is a linear mech-combat game. Each mission in the game is book-ended by long, talking-head dialogue scenes between the various members of Joe's party. Before each mission the model of Joe's (as well as allies, if available) frame can be selected, either the nimble and weak Light Frame, the armored and slow Heavy Frame, or the in between Middle Frame. Two weapon slots are taken up by small arms, either a pistol, machine gun, or grenades, while the other two slots are taken up by more powerful weapons, like missile launchers, sniper riffles, and Gatling guns, with the most powerful only able to be equipped by a Heavy Frame. Weapons have limited ammo and overheat if fired continuously. Each body part of a frame is armored, and after the armor on a part is destroyed any additional damage to that part will damage the frame itself, until eventually the frame is destroyed.",2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42080,61957,Exodus Guilty Vol. 1 Present,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29835,61955,Exodus Guilty Vol. 2 Past,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21111,61954,Exodus Guilty Vol. 3 Future,NULL,2003-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100521,92099,ExZeus,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176634,5830,F1 Career Challenge,NULL,2003-12-31 00:00:00.000,NULL,NULL,63.0000,2,48.0000,0
168104,44721,Fame Academy: Dance Edition,NULL,2003-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113954,202913,Fantasy Zone,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138470,70157,Far West,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111725,5105,Fatal Frame II: Crimson Butterfly,"Fatal Frame II is set in the fictional Minakami region of Japan. While a dam is being planned for construction in a forest at this location in the game's present, the site is also home to Minakami Village (lit. ""All God's Village""), a ""[l]ost"" settlement where the majority of the game takes place. The player learns that Minakami Village was host to the ""Crimson Sacrifice Ritual"", the failure of which caused the settlement to vanish—thus earning it the name ""The Lost Village"". In the game's present, there is an urban legend about the Lost Village, where people who become lost in the Minakami forest will become trapped forever in the village.

The protagonists of Fatal Frame II are Mio and Mayu Amakura, twin sisters who are visiting their favorite childhood playspot in Minakami before it is lost in the dam construction. The main antagonist is the vengeful spirit of Sae Kurosawa, the sole Twin Shrine Maiden sacrificed for the failed ritual. She yearns to reunite with her twin sister Yae, whom she mistakes Mio for, and uses Mayu to try and complete the ritual with her. Other characters include the spirit of Itsuki Tachibana, a young man who also mistakes Mio for Yae, but instead tries to help her and Mayu escape; and Seijiro Makabe, a folklorist who visited Minakami Village with a Camera Obscura prototype (the same camera Mio uses in the game) and his assistant, Ryozo Munakata.[20] Makabe later became a temporary sacrifice for the Abyss, known as a Kusab. Although Mio and Mayu's story takes place after that of Miku Hinasaki, the events of Minakami Village occur before those of the Himuro mansion in the original game.",2003-11-27 00:00:00.000,17,NULL,86.6667,2,85.3018,37
193065,27496,Fenimore Fillmore: The Westerner,NULL,2003-12-21 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,1
39715,204579,Firefighter 259,NULL,2003-12-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101328,129774,Fixat!,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63161,196839,Flintstones' Bedrock Boblseddin' Blowout,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104176,79830,Fobos,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80652,212739,Franks Adventure 2,NULL,2003-11-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98356,209570,Friday Night 3D Bowling,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175579,218590,Frogger,NULL,2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171500,11480,Frogger's Journey: The Forgotten Relic,NULL,2003-11-28 00:00:00.000,NULL,NULL,55.0000,1,NULL,NULL
147468,1503,Front Mission 4,"Set in 2096, the story of Front Mission 4 takes place in Venezuela and Europe. Since the revelations of the true causes behind the 2nd Huffman Conflict in 2092, the world grew wary of the Republic of Zaftra. Zaftra began losing foreign investments and many businesses withdrew from the union, resulting in major economic losses. Superpowers such as the United States of the New Continent (USN) refused offers from the union to import their natural resources, the major economic driver of their economy. With a failing economy and growing distrust from the world community, the Republic of Zaftra disbanded the Peace Mediation Organization (PMO) in 2094. Meanwhile, the discovery of natural resources in Poland led the European Community (EC) to stop importing raw materials from Zaftra. Consequently, Zaftran citizens began migrating to other countries in search for work. In 2096, the Republic of Zaftra returned to the spotlight after a mysterious blitzkrieg of EC military bases leaves Europe in an imminent resource crisis. Elsewhere in the world, Venezuela suddenly declares independence from the USN.",2003-12-18 00:00:00.000,1,NULL,73.0000,2,NULL,NULL
3453,24101,Fugitive Hunter,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177212,43383,Fugitive Hunter: War on Terror,NULL,2003-11-18 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
148524,19071,Fullmetal Alchemist and the Broken Angel,"Taking place between episodes 17 and 18 of the anime, the game begins with the Elric brothers (somewhat unwillingly being escorted by Major Alex Louis Armstrong) heading to Central City via train. While Ed moans, Al consoles, and Armstrong flexes, the train is suddenly attacked by terrorists. The skirmish eventually ends with one destroyed train and the brothers in the town of New Heissgart, looking for a ride to Central. There, they meet a girl named Armony and learn more of the Philosopher's Catalyst, an item nearly as powerful as the Philosopher's Stone itself, but used to increase the efficiency of alchemy. The Philosopher's Catalyst seems to be directly linked with the berserk chimeras running about, the rogue military force, and the gathering of alchemists in the town. The Elrics soon find that their simple mission for a train turns into much more as they learn about the Catalyst and the dark mysteries surrounding it.",2003-12-25 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
126943,142302,Fürst Marigor und die Tobis,NULL,2003-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
145898,78271,F-Zero AX,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112823,3493,F-Zero: GP Legend,NULL,2003-11-28 00:00:00.000,2,NULL,80.0000,1,73.0506,5
97601,64610,Gakuen Heaven: Boy's Love Scramble,"Ito Keita, an average high school boy, is surprised to receive an acceptance letter from the renowned Bell Liberty Academy.
After being involved in an accident (and luckily, surviving) on the day of his transfer, Keita finds himself among a variety of unique people... but what is Keita's ""special ability""? Will he truly be accepted into this school full of elite students?",2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
191238,98305,Garfield's Scary Scavenger Hunt 2,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
152735,4885,Geometry Wars,"you are a geometric ""ship"" trapped in a grid world, facing off against waves of deadly wanderers, snakes, and repulsars. Your aim is to survive long enough to set a high score! Avoid the spawning enemies, and shoot them down for points.",2003-11-17 00:00:00.000,6,NULL,NULL,NULL,84.8516,14
30008,22279,Ghosthunter,NULL,2003-12-05 00:00:00.000,NULL,NULL,71.5000,2,NULL,NULL
121947,43441,Glass Rose,NULL,2003-11-06 00:00:00.000,7,NULL,NULL,NULL,NULL,NULL
148363,3933,Go! Go! Hypergrind,NULL,2003-11-18 00:00:00.000,2,NULL,NULL,NULL,36.0000,0
144803,3934,Goblin Commander: Unleash the Horde,NULL,2003-11-11 00:00:00.000,NULL,NULL,75.0000,1,50.0000,1
99615,194800,Gold Miner,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172872,74013,Golf Adventure Galaxy,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145150,3936,Gotcha Force,NULL,2003-11-27 00:00:00.000,2,NULL,NULL,NULL,79.9485,7
51505,88893,Gran Turismo / Motor Toon Grand Prix 2 Double Pack,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175959,1604,Gran Turismo 4 Prologue,NULL,2003-12-04 00:00:00.000,1,NULL,70.0000,1,40.2055,7
58172,212692,Grand Unified Game,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54620,5856,Group S Challenge,NULL,2003-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107019,72430,Growlanser Collection,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170010,21313,Growlanser IV: Wayfarer of the Time,NULL,2003-12-18 00:00:00.000,1,NULL,80.0000,1,NULL,NULL
118945,169891,Grr! Bearly Sane,NULL,2003-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154515,5857,Guilty Gear Isuka,NULL,2003-12-17 00:00:00.000,NULL,NULL,NULL,NULL,58.7806,11
36828,43531,Gunfighter II: Revenge of Jesse James,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65520,146192,Hamlet: The Text Adventure,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
42970,117003,Harry Potter and the Sorcerer's Stone,"The story follows protagonist Harry Potter, who discovers he is a wizard, and is sent to Hogwarts School of Witchcraft and Wizardry where he makes friends and receives magical training, and along with his friends stop Lord Voldemort from returning to power.",2003-12-09 00:00:00.000,2,NULL,NULL,NULL,69.9656,9
122937,138992,Harum Scarum,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172281,49188,Harvest Moon: More Friends of Mineral Town,NULL,2003-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71353,64452,Herkules,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138063,73774,Hidden & Dangerous Deluxe,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44536,64642,Hinokakera the Fragments of Innocent Sinner,NULL,2003-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
194844,204439,Hot Shots Golf: Fore,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28580,210070,Hoyle Friday Night Poker,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85329,50580,Hudson Selection Vol. 3: PC Genjin,NULL,2003-12-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95598,50574,Hudson Selection Vol. 4: Takahashi Meijin no Bouken-jima,NULL,2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
142156,49423,Hugo: Bukkazoom,"For unexplained reasons, Hugo, his family, and some of his best friends and worst enemies have been shrunk to the size of an aphid. They now drive through the world of aphids with carts.",2003-12-01 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
